Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Food 2 Kids Jackson,0.0,5438.0,53.0,331.0,175.0,293.0,175.0,234.0,234.0,351.0,175.0,818.0,1779.0,0.0,7540.0,8880.0,2515.0,4592.0,0.0,8854.0,4402.0,1898.0,0.0,0.0,7652.0,11812.0,8116.0,4974.0,10998.0,8500.0,12247.0,7033.0,6284.0,9785.0,12427.0,15106.0,5438.0,-5385.0,278.0,-156.0,118.0,-118.0,59.0,0.0,117.0,-176.0,643.0,961.0,-1779.0,7540.0,1340.0,-6365.0,2077.0,-4592.0,8854.0,-4452.0,-2504.0,-1898.0,0.0,7652.0,4160.0,-3696.0,-3142.0,6024.0,-2498.0,3747.0,-5214.0,-749.0,3501.0,2642.0,2679.0
Free Chapel Worship Center Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12021.0,11522.0,12472.0,11410.0,13602.0,11669.0,13088.0,13321.0,12206.0,12272.0,12480.0,12656.0,13024.0,12623.0,10077.0,10537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12021.0,-499.0,950.0,-1062.0,2192.0,-1933.0,1419.0,233.0,-1115.0,66.0,208.0,176.0,368.0,-401.0,-2546.0,460.0
Glory Bound Athletics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,-1027.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,-354.0,0.0,0.0,0.0,0.0,417.0,-417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Handfuls of Purpose (God's Cupboard),2148.0,913.0,1872.0,2659.0,2297.0,843.0,1285.0,1778.0,1509.0,462.0,1009.0,1393.0,999.0,552.0,777.0,976.0,428.0,1730.0,1884.0,1892.0,3250.0,884.0,1075.0,2567.0,2615.0,2082.0,2802.0,2097.0,2634.0,2081.0,5435.0,1875.0,2031.0,3284.0,5441.0,2435.0,-1235.0,959.0,787.0,-362.0,-1454.0,442.0,493.0,-269.0,-1047.0,547.0,384.0,-394.0,-447.0,225.0,199.0,-548.0,1302.0,154.0,8.0,1358.0,-2366.0,191.0,1492.0,48.0,-533.0,720.0,-705.0,537.0,-553.0,3354.0,-3560.0,156.0,1253.0,2157.0,-3006.0
Jackson County MedLink Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9820.0,0.0,12005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9820.0,-9820.0,12005.0,-12005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14810.0,-14810.0,0.0
Jackson County Senior Center,1781.0,677.0,386.0,3490.0,3422.0,175.0,2542.0,0.0,3386.0,2863.0,1276.0,1690.0,759.0,2329.0,1065.0,1947.0,1113.0,2603.0,481.0,201.0,588.0,1654.0,0.0,567.35,3034.63,1907.0,1617.0,617.0,1332.0,258.0,1134.0,2666.0,2744.0,3169.0,3062.0,2278.16,-1104.0,-291.0,3104.0,-68.0,-3247.0,2367.0,-2542.0,3386.0,-523.0,-1587.0,414.0,-931.0,1570.0,-1264.0,882.0,-834.0,1490.0,-2122.0,-280.0,387.0,1066.0,-1654.0,567.35,2467.28,-1127.63,-290.0,-1000.0,715.0,-1074.0,876.0,1532.0,78.0,425.0,-107.0,-783.8400000000001
Jackson: Banks Jackson FB Senior Staples Program,0.0,0.0,526.0,1214.0,1756.0,0.0,558.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,688.0,542.0,-1756.0,558.0,-95.0,-463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson: Jackson County Baptist Church Senior Staples Program,586.0,570.0,526.0,463.0,1158.0,0.0,531.0,0.0,0.0,1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,-44.0,-63.0,695.0,-1158.0,531.0,-531.0,0.0,1210.0,-1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson: Sardis Presbyterian Church Senior Staples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,-185.0,1380.0,-1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Living Free Ministry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.0,2158.0,1791.0,5970.0,3046.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.0,445.0,-367.0,4179.0,-2923.38
Maysville Baptist Church,2856.0,1188.0,1460.0,1224.0,4995.0,3530.0,0.0,1016.0,728.0,1057.0,1063.0,910.0,2203.0,2703.0,1614.0,1892.0,4478.0,5672.0,2418.0,1510.0,2253.0,2905.0,2765.0,0.0,5510.0,0.0,3304.0,4013.0,10508.0,3442.0,4609.0,2971.0,1988.0,2024.0,2499.0,4895.0,-1668.0,272.0,-236.0,3771.0,-1465.0,-3530.0,1016.0,-288.0,329.0,6.0,-153.0,1293.0,500.0,-1089.0,278.0,2586.0,1194.0,-3254.0,-908.0,743.0,652.0,-140.0,-2765.0,5510.0,-5510.0,3304.0,709.0,6495.0,-7066.0,1167.0,-1638.0,-983.0,36.0,475.0,2396.0
New Beginnings Worship Center,2506.0,3279.0,3764.0,2782.0,15427.0,7488.0,2891.0,2661.0,9622.0,6833.0,2142.0,11472.0,6164.0,4734.0,4294.0,14626.0,6260.0,19259.0,19938.0,3589.0,14128.0,1241.0,19745.0,5697.45,5185.0,5901.0,9174.0,7928.0,5809.0,8184.0,2209.0,6937.0,14325.0,5632.0,2142.0,2241.4,773.0,485.0,-982.0,12645.0,-7939.0,-4597.0,-230.0,6961.0,-2789.0,-4691.0,9330.0,-5308.0,-1430.0,-440.0,10332.0,-8366.0,12999.0,679.0,-16349.0,10539.0,-12887.0,18504.0,-14047.55,-512.4499999999998,716.0,3273.0,-1246.0,-2119.0,2375.0,-5975.0,4728.0,7388.0,-8693.0,-3490.0,99.40000000000009
Open Door/The Torch Jackson County MP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27951.0,-27951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potters House (Atlanta Mission),8947.0,18447.0,9970.0,10683.0,16248.0,13584.5,13253.0,6516.0,8238.0,9038.0,20992.0,19017.0,16872.0,19669.0,14198.0,29813.0,25861.0,8813.0,24842.0,19156.0,11311.0,16963.0,11975.0,17848.8,12742.0,20544.0,9243.0,19243.0,15070.0,11170.0,11973.0,18355.0,18564.0,9501.0,13522.0,8752.0,9500.0,-8477.0,713.0,5565.0,-2663.5,-331.5,-6737.0,1722.0,800.0,11954.0,-1975.0,-2145.0,2797.0,-5471.0,15615.0,-3952.0,-17048.0,16029.0,-5686.0,-7845.0,5652.0,-4988.0,5873.799999999999,-5106.799999999999,7802.0,-11301.0,10000.0,-4173.0,-3900.0,803.0,6382.0,209.0,-9063.0,4021.0,-4770.0
River of Life Worship Center,0.0,0.0,2437.0,1102.0,727.0,0.0,0.0,1941.0,535.0,778.0,491.0,202.0,873.0,1139.0,1562.0,1330.0,1698.0,1549.0,1793.0,3958.0,2915.0,3513.0,2738.0,2295.0,2826.0,2194.0,2245.0,1396.0,2505.0,2678.0,1549.0,2899.0,3626.0,3608.0,2814.0,1994.0,0.0,2437.0,-1335.0,-375.0,-727.0,0.0,1941.0,-1406.0,243.0,-287.0,-289.0,671.0,266.0,423.0,-232.0,368.0,-149.0,244.0,2165.0,-1043.0,598.0,-775.0,-443.0,531.0,-632.0,51.0,-849.0,1109.0,173.0,-1129.0,1350.0,727.0,-18.0,-794.0,-820.0
Sardis Presbyterian Church,0.0,846.0,456.0,3011.0,1245.0,449.0,0.0,406.0,1423.0,994.0,1484.0,2037.0,1440.0,2015.0,1344.0,2974.0,2132.0,657.0,848.0,2897.0,567.0,5716.0,1390.0,855.0,2684.0,1449.0,1790.0,1177.0,1171.0,944.0,1772.0,703.0,1487.0,2030.0,1891.0,1020.0,846.0,-390.0,2555.0,-1766.0,-796.0,-449.0,406.0,1017.0,-429.0,490.0,553.0,-597.0,575.0,-671.0,1630.0,-842.0,-1475.0,191.0,2049.0,-2330.0,5149.0,-4326.0,-535.0,1829.0,-1235.0,341.0,-613.0,-6.0,-227.0,828.0,-1069.0,784.0,543.0,-139.0,-871.0
United in Harmony Outreach Ministries,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,253.0,0.0,495.0,0.0,0.0,0.0,295.0,414.0,1219.0,291.0,0.0,1139.0,0.0,654.0,658.0,0.0,0.0,0.0,3114.0,914.0,770.0,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,-227.0,0.0,0.0,253.0,-253.0,495.0,-495.0,0.0,0.0,295.0,119.0,805.0,-928.0,-291.0,1139.0,-1139.0,654.0,4.0,-658.0,0.0,0.0,3114.0,-2200.0,-144.0
Warren Chapel UMC,5369.0,2715.0,2938.0,868.0,2531.0,2484.0,2334.0,1344.0,1648.0,834.0,2295.0,1229.0,768.0,838.0,865.0,2778.0,2348.0,712.0,1919.0,783.0,771.0,474.0,629.0,605.0,373.0,1148.0,1661.0,1444.0,1422.0,1151.0,525.0,949.0,812.0,504.0,1180.0,1525.16,-2654.0,223.0,-2070.0,1663.0,-47.0,-150.0,-990.0,304.0,-814.0,1461.0,-1066.0,-461.0,70.0,27.0,1913.0,-430.0,-1636.0,1207.0,-1136.0,-12.0,-297.0,155.0,-24.0,-232.0,775.0,513.0,-217.0,-22.0,-271.0,-626.0,424.0,-137.0,-308.0,676.0,345.1600000000001
White Plains Baptist Church ,815.0,1531.0,646.0,660.0,1232.0,746.0,2945.0,1798.0,1878.0,722.0,1815.0,2057.0,2169.0,2618.0,2553.0,3867.0,3672.0,753.0,3955.0,3199.0,2384.0,4366.0,2222.0,2468.0,4171.0,4288.0,3670.0,7078.0,5562.0,4420.0,3647.0,3586.0,3431.0,4058.0,2482.0,3294.0,716.0,-885.0,14.0,572.0,-486.0,2199.0,-1147.0,80.0,-1156.0,1093.0,242.0,112.0,449.0,-65.0,1314.0,-195.0,-2919.0,3202.0,-756.0,-815.0,1982.0,-2144.0,246.0,1703.0,117.0,-618.0,3408.0,-1516.0,-1142.0,-773.0,-61.0,-155.0,627.0,-1576.0,812.0
iServe Ministries,61202.0,66476.0,68008.0,60667.0,94251.0,80892.0,92872.0,79396.0,67398.0,82612.0,77744.0,88730.0,113099.0,112686.0,90953.0,94676.0,122664.0,118111.0,114198.0,119281.0,133387.0,115112.0,116696.0,127097.0,122671.0,120025.0,132159.0,126632.0,116005.0,133087.0,84004.0,127483.0,117372.0,112216.0,112003.0,118017.0,5274.0,1532.0,-7341.0,33584.0,-13359.0,11980.0,-13476.0,-11998.0,15214.0,-4868.0,10986.0,24369.0,-413.0,-21733.0,3723.0,27988.0,-4553.0,-3913.0,5083.0,14106.0,-18275.0,1584.0,10401.0,-4426.0,-2646.0,12134.0,-5527.0,-10627.0,17082.0,-49083.0,43479.0,-10111.0,-5156.0,-213.0,6014.0
