County,Agency,months_evaluated,recent_window_used,median_prev,median_recent,median_change_pct,slope_per_month,slope_normalized,mom_vol_prev,mom_vol_recent,nonzero_share_prev,nonzero_share_recent,last_year_median,last_year_total,last_year_nonzero_share,last_year_info,flags,explanations
Clarke,1st Step Program,36,12,0.0,0.0,0.0,-3.69,-3.6855,0.01,0.0,0.17,0.0,0.0,2031.0,0.08,"Last year (12 mo): median 0 lb, total 2,031 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -368.5% per month.
Clarke,Athens Area Asa Philip Randolph Institute,36,12,1836.0,2132.0,0.161,73.98,0.0376,0.65,1.12,1.0,1.0,1714.0,26605.0,1.0,"Last year (12 mo): median 1,714 lb, total 26,605 lb, non-zero 100%.","VARIABILITY_UP,MOM_VOLATILITY_UP","Growing inconsistency. More up-and-down lately. Bigger swings between months in the recent period. Compared to same months last year: typical month 24% (1,714 lb → 2,132 lb)."
Clarke,Beech Haven Baptist Church,36,12,38.0,218.0,4.75,7.26,0.0679,0.91,2.55,0.5,1.0,186.0,5162.0,0.83,"Last year (12 mo): median 186 lb, total 5,162 lb, non-zero 83%.",MOM_VOLATILITY_UP,Growing inconsistency. Bigger swings between months in the recent period. Compared to same months last year: typical month 18% (186 lb → 218 lb).
Clarke,Catholic Center at UGA,36,12,584.0,539.0,-0.078,106.67,0.1934,0.61,4.48,0.92,1.0,584.0,8114.0,0.92,"Last year (12 mo): median 584 lb, total 8,114 lb, non-zero 92%.","VARIABILITY_UP,MOM_VOLATILITY_UP",Growing inconsistency. More up-and-down lately. Bigger swings between months in the recent period. Compared to same months last year: typical month -8% (584 lb → 539 lb).
Clarke,Clarke Central School Food Pantry,36,12,0.0,0.0,0.0,-1.53,-1.5264,0.0,0.0,0.12,0.0,0.0,708.0,0.08,"Last year (12 mo): median 0 lb, total 708 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -152.6% per month.
Clarke,Clarke County Sheriff's Office,36,12,0.0,0.0,0.0,-82.08,-82.0813,0.02,0.0,0.17,0.0,0.0,5108.0,0.08,"Last year (12 mo): median 0 lb, total 5,108 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -8208.1% per month.
Clarke,Clarke: ACCA Senior Staples Program,36,12,210.0,0.0,-1.0,-10.98,-10.975,2.59,0.0,0.54,0.0,2328.0,29342.0,0.92,"Last year (12 mo): median 2,328 lb, total 29,342 lb, non-zero 92%.",DECLINING_TREND,Declining distribution. Steady decline about -1097.5% per month.
Clarke,Clarke: Winterville FBC Senior Staples Program,36,12,0.0,0.0,0.0,-29.47,-29.4722,0.18,0.0,0.33,0.0,0.0,302.0,0.08,"Last year (12 mo): median 0 lb, total 302 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -2947.2% per month.
Clarke,Detox ABHS (CSP/CSU),36,12,0.0,0.0,0.0,-2.02,-2.0216,0.0,0.0,0.08,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -202.2% per month.
Clarke,EADC dba New Dawn,36,12,0.0,0.0,0.0,-0.73,-0.7342,0.76,0.0,0.12,0.0,0.0,1935.0,0.25,"Last year (12 mo): median 0 lb, total 1,935 lb, non-zero 25%.",DECLINING_TREND,Declining distribution. Steady decline about -73.4% per month.
Clarke,F2K360 CLARKE,36,12,0.0,0.0,0.0,-2.34,-2.3431,1.83,0.0,0.12,0.0,0.0,11782.0,0.25,"Last year (12 mo): median 0 lb, total 11,782 lb, non-zero 25%.",DECLINING_TREND,Declining distribution. Steady decline about -234.3% per month.
Clarke,Family Counseling Service,36,12,2331.0,1911.0,-0.18,-31.82,-0.015,0.32,0.45,1.0,1.0,2184.0,30192.0,1.0,"Last year (12 mo): median 2,184 lb, total 30,192 lb, non-zero 100%.",LOWER_RECENT_MEDIAN,"Declining distribution. Typical month now -18% vs earlier (~2,331 lb → ~1,911 lb). Compared to same months last year: typical month -13% (2,184 lb → 1,911 lb)."
Clarke,"Feed My Sheep, LTD",36,12,2964.0,1967.0,-0.336,-32.31,-0.011,0.52,0.68,1.0,1.0,2936.0,36083.0,1.0,"Last year (12 mo): median 2,936 lb, total 36,083 lb, non-zero 100%.",LOWER_RECENT_MEDIAN,"Declining distribution. Typical month now -34% vs earlier (~2,964 lb → ~1,967 lb). Compared to same months last year: typical month -33% (2,936 lb → 1,967 lb)."
Clarke,First United Methodist Church,36,12,0.0,0.0,0.0,-3.81,-3.8142,0.04,0.0,0.21,0.0,0.0,1111.0,0.17,"Last year (12 mo): median 0 lb, total 1,111 lb, non-zero 17%.",DECLINING_TREND,Declining distribution. Steady decline about -381.4% per month.
Clarke,Food 2 Kids Clarke County,36,12,10732.0,0.0,-1.0,-398.19,-0.055,10.93,0.09,0.92,0.25,8168.0,115484.0,0.92,"Last year (12 mo): median 8,168 lb, total 115,484 lb, non-zero 92%.",DECLINING_TREND,Declining distribution. Steady decline about -5.5% per month.
Clarke,Food Bank NEGA Senior Staples Program (Athens Warehouse),36,12,5582.0,0.0,-1.0,-147.06,-0.0459,0.31,0.0,0.79,0.17,6060.0,78839.0,0.67,"Last year (12 mo): median 6,060 lb, total 78,839 lb, non-zero 67%.",DECLINING_TREND,Declining distribution. Steady decline about -4.6% per month.
Clarke,Foothills (Clarke) Regional High School,36,12,54.0,0.0,-1.0,-3.7,-3.6994,0.35,0.0,0.58,0.0,0.0,482.0,0.42,"Last year (12 mo): median 0 lb, total 482 lb, non-zero 42%.",DECLINING_TREND,Declining distribution. Steady decline about -369.9% per month.
Clarke,"Freedom From Bondage, Inc.",36,12,1324.0,238.0,-0.82,-39.34,-0.0586,0.51,0.25,1.0,0.75,1348.0,18423.0,1.0,"Last year (12 mo): median 1,348 lb, total 18,423 lb, non-zero 100%.","DECLINING_TREND,LOWER_RECENT_MEDIAN,VARIABILITY_UP","Declining and less consistent recently. Steady decline about -5.9% per month. Typical month now -82% vs earlier (~1,324 lb → ~238 lb). More up-and-down lately. Compared to same months last year: typical month -82% (1,348 lb → 238 lb)."
Clarke,GPRGC Clarke Senior Assistance,36,12,0.0,0.0,0.0,-8.14,-8.1435,0.0,0.0,0.08,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -814.4% per month.
Clarke,Hill Chapel Baptist Church,36,12,12866.0,13012.0,0.011,13.87,0.0011,0.16,0.72,1.0,1.0,14098.0,168740.0,1.0,"Last year (12 mo): median 14,098 lb, total 168,740 lb, non-zero 100%.","VARIABILITY_UP,MOM_VOLATILITY_UP","Growing inconsistency. More up-and-down lately. Bigger swings between months in the recent period. Compared to same months last year: typical month -8% (14,098 lb → 13,012 lb)."
Clarke,Iglesia Pentecostal Tabernaculo de Athens,36,12,6806.0,4472.0,-0.343,-89.84,-0.0155,0.43,0.34,1.0,1.0,6390.0,74179.0,1.0,"Last year (12 mo): median 6,390 lb, total 74,179 lb, non-zero 100%.",LOWER_RECENT_MEDIAN,"Declining distribution. Typical month now -34% vs earlier (~6,806 lb → ~4,472 lb). Compared to same months last year: typical month -30% (6,390 lb → 4,472 lb)."
Clarke,Inter-Community Council Inc.,36,12,0.0,0.0,0.0,-13.65,-13.6532,0.0,0.0,0.08,0.0,0.0,9709.0,0.17,"Last year (12 mo): median 0 lb, total 9,709 lb, non-zero 17%.",DECLINING_TREND,Declining distribution. Steady decline about -1365.3% per month.
Clarke,La Nueva Jerusalem,36,12,688.0,577.0,-0.162,-4.98,-0.0081,0.41,0.44,1.0,1.0,668.0,8094.0,1.0,"Last year (12 mo): median 668 lb, total 8,094 lb, non-zero 100%.","LOWER_RECENT_MEDIAN,VARIABILITY_UP",Declining distribution. Typical month now -16% vs earlier (~688 lb → ~577 lb). More up-and-down lately. Compared to same months last year: typical month -14% (668 lb → 577 lb).
Clarke,Living Hope Church,36,12,2096.0,1611.0,-0.232,-28.46,-0.0151,0.28,0.32,1.0,1.0,2354.0,27600.0,1.0,"Last year (12 mo): median 2,354 lb, total 27,600 lb, non-zero 100%.",LOWER_RECENT_MEDIAN,"Declining distribution. Typical month now -23% vs earlier (~2,096 lb → ~1,611 lb). Compared to same months last year: typical month -32% (2,354 lb → 1,611 lb)."
Clarke,MULTIPLEchoices-Disabled Veteran's Division,36,12,0.0,0.0,0.0,-0.39,-0.3891,0.0,0.0,0.08,0.08,0.0,190.0,0.08,"Last year (12 mo): median 0 lb, total 190 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -38.9% per month.
Clarke,Open Hearts,36,12,28.0,0.0,-1.0,-4.0,-3.9985,0.35,0.09,0.5,0.42,0.0,1896.0,0.33,"Last year (12 mo): median 0 lb, total 1,896 lb, non-zero 33%.",DECLINING_TREND,Declining distribution. Steady decline about -399.8% per month.
Clarke,PINEWOOD ESTATES NORTH---Program,36,12,11726.0,12009.0,0.024,-108.9,-0.0093,0.16,1.85,0.96,0.83,11874.0,142297.0,0.92,"Last year (12 mo): median 11,874 lb, total 142,297 lb, non-zero 92%.","VARIABILITY_UP,MOM_VOLATILITY_UP","Growing inconsistency. More up-and-down lately. Bigger swings between months in the recent period. Compared to same months last year: typical month 1% (11,874 lb → 12,009 lb)."
Clarke,Salvation Army (Clarke),36,12,0.0,0.0,0.0,-67.75,-67.7485,0.1,0.0,0.33,0.17,0.0,1641.0,0.17,"Last year (12 mo): median 0 lb, total 1,641 lb, non-zero 17%.",DECLINING_TREND,Declining distribution. Steady decline about -6774.9% per month.
Clarke,Shiloh Baptist Church,36,12,775.0,660.0,-0.148,-39.81,-0.0535,1.12,0.35,0.67,0.67,884.0,14268.0,0.75,"Last year (12 mo): median 884 lb, total 14,268 lb, non-zero 75%.",DECLINING_TREND,Declining distribution. Steady decline about -5.4% per month. Compared to same months last year: typical month -25% (884 lb → 660 lb).
Clarke,Sparrows Nest,36,12,512.0,0.0,-1.0,-19.7,-0.0636,0.52,0.07,0.75,0.25,512.0,5106.0,0.83,"Last year (12 mo): median 512 lb, total 5,106 lb, non-zero 83%.",DECLINING_TREND,Declining distribution. Steady decline about -6.4% per month.
Clarke,Terrapin FBNEGA Mobile Pantry,36,12,9363.0,0.0,-1.0,-386.81,-0.1513,0.16,0.0,0.75,0.0,4984.0,64326.0,0.5,"Last year (12 mo): median 4,984 lb, total 64,326 lb, non-zero 50%.",DECLINING_TREND,Declining distribution. Steady decline about -15.1% per month.
Clarke,"The Bridge Community Church, Inc.",36,12,0.0,0.0,0.0,-1.21,-1.2094,0.05,0.0,0.33,0.0,93.0,1022.0,0.58,"Last year (12 mo): median 93 lb, total 1,022 lb, non-zero 58%.",DECLINING_TREND,Declining distribution. Steady decline about -120.9% per month.
Clarke,The Extended Table,36,12,410.0,320.0,-0.219,-6.17,-0.0167,1.12,0.25,1.0,0.75,390.0,4861.0,1.0,"Last year (12 mo): median 390 lb, total 4,861 lb, non-zero 100%.",LOWER_RECENT_MEDIAN,Declining distribution. Typical month now -22% vs earlier (~410 lb → ~320 lb). Compared to same months last year: typical month -18% (390 lb → 320 lb).
Clarke,The Table UGA,36,12,142.0,50.0,-0.647,-4.24,-0.0395,0.16,0.28,0.58,0.5,55.0,1648.0,0.5,"Last year (12 mo): median 55 lb, total 1,648 lb, non-zero 50%.","DECLINING_TREND,LOWER_RECENT_MEDIAN",Declining distribution. Steady decline about -3.9% per month. Typical month now -65% vs earlier (~142 lb → ~50 lb). Compared to same months last year: typical month -9% (55 lb → 50 lb).
Clarke,"True Comfort Care Home, Inc.",36,12,7272.0,0.0,-1.0,-248.37,-0.1434,2.08,0.0,0.92,0.0,9000.0,139888.0,0.83,"Last year (12 mo): median 9,000 lb, total 139,888 lb, non-zero 83%.",DECLINING_TREND,Declining distribution. Steady decline about -14.3% per month.
Clarke,Virginia Walker Mobile Pantry,36,12,10988.0,0.0,-1.0,-348.48,-0.0344,0.16,0.0,1.0,0.08,11802.0,138877.0,1.0,"Last year (12 mo): median 11,802 lb, total 138,877 lb, non-zero 100%.",DECLINING_TREND,Declining distribution. Steady decline about -3.4% per month.
Clarke,iServe Ministries/Athens,36,12,0.0,0.0,0.0,-560.13,-560.1274,0.02,0.0,0.17,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -56012.7% per month.
Franklin,F2K 360 Franklin,36,12,0.0,0.0,0.0,-11.15,-11.1486,0.0,0.0,0.04,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -1114.9% per month.
Franklin,Food to Kids Franklin County,36,12,0.0,0.0,0.0,-15.02,-15.0178,0.12,0.0,0.38,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -1501.8% per month.
Franklin,Franklin: Step of Faith Senior Staples Program,36,12,0.0,0.0,0.0,-13.29,-13.2905,0.09,0.0,0.25,0.0,0.0,57.0,0.08,"Last year (12 mo): median 0 lb, total 57 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -1329.0% per month.
Franklin,Lavonia Church of God,36,12,11907.0,12426.0,0.044,-14.2,-0.0012,0.18,0.03,1.0,0.92,12307.0,153157.0,1.0,"Last year (12 mo): median 12,307 lb, total 153,157 lb, non-zero 100%.",VARIABILITY_UP,"Growing inconsistency. More up-and-down lately. Compared to same months last year: typical month 1% (12,307 lb → 12,426 lb)."
Franklin,Oasis Community Outreach,36,12,0.0,0.0,0.0,-28.92,-28.923,0.01,0.0,0.12,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -2892.3% per month.
Franklin,Royston Housing Authority,36,12,797.0,384.0,-0.518,11.93,0.0156,1.19,0.54,1.0,0.5,1344.0,17735.0,1.0,"Last year (12 mo): median 1,344 lb, total 17,735 lb, non-zero 100%.","LOWER_RECENT_MEDIAN,VARIABILITY_UP","Declining distribution. Typical month now -52% vs earlier (~797 lb → ~384 lb). More up-and-down lately. Compared to same months last year: typical month -71% (1,344 lb → 384 lb)."
Franklin,The Grace Foundation: Family Transformation ,36,12,1010.0,5922.0,4.863,199.11,0.1255,0.69,1.07,0.67,0.92,1780.0,67908.0,0.92,"Last year (12 mo): median 1,780 lb, total 67,908 lb, non-zero 92%.",MOM_VOLATILITY_UP,"Growing inconsistency. Bigger swings between months in the recent period. Compared to same months last year: typical month 233% (1,780 lb → 5,922 lb)."
Franklin,World Outreach Ministries (d/b/a Ignited Church),36,12,754.0,468.0,-0.379,-55.25,-0.0812,0.92,0.57,0.96,1.0,692.0,8367.0,0.92,"Last year (12 mo): median 692 lb, total 8,367 lb, non-zero 92%.","DECLINING_TREND,LOWER_RECENT_MEDIAN",Declining distribution. Steady decline about -8.1% per month. Typical month now -38% vs earlier (~754 lb → ~468 lb). Compared to same months last year: typical month -32% (692 lb → 468 lb).
Habersham,Ballew House Outreach,36,12,290.0,434.0,0.497,4.56,0.0148,0.32,0.7,0.96,0.92,258.0,3168.0,1.0,"Last year (12 mo): median 258 lb, total 3,168 lb, non-zero 100%.","VARIABILITY_UP,MOM_VOLATILITY_UP",Growing inconsistency. More up-and-down lately. Bigger swings between months in the recent period. Compared to same months last year: typical month 68% (258 lb → 434 lb).
Habersham,Clarkesville Soup Kitchen,36,12,1076.0,864.0,-0.197,-8.47,-0.0083,0.49,0.63,1.0,1.0,1116.0,14739.0,1.0,"Last year (12 mo): median 1,116 lb, total 14,739 lb, non-zero 100%.",LOWER_RECENT_MEDIAN,"Declining distribution. Typical month now -20% vs earlier (~1,076 lb → ~864 lb). Compared to same months last year: typical month -23% (1,116 lb → 864 lb)."
Habersham,Demorest Baptist Church,36,12,0.0,0.0,0.0,-2.17,-2.1686,0.0,0.0,0.12,0.0,0.0,35560.0,0.17,"Last year (12 mo): median 0 lb, total 35,560 lb, non-zero 17%.",DECLINING_TREND,Declining distribution. Steady decline about -216.9% per month.
Habersham,Food 2 Kids Habersham County,36,12,0.0,0.0,0.0,-170.17,-170.1721,0.31,0.0,0.46,0.0,0.0,2588.0,0.08,"Last year (12 mo): median 0 lb, total 2,588 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -17017.2% per month.
Habersham,Habersham Homeless Ministries,36,12,0.0,0.0,0.0,-3.36,-3.3595,0.51,0.0,0.38,0.0,20.0,1637.0,0.5,"Last year (12 mo): median 20 lb, total 1,637 lb, non-zero 50%.",DECLINING_TREND,Declining distribution. Steady decline about -335.9% per month.
Habersham,Habersham: Habersham County Senior Center Senior Staples Program,36,12,862.0,0.0,-1.0,-35.44,-35.4432,0.17,0.0,0.71,0.0,0.0,6191.0,0.42,"Last year (12 mo): median 0 lb, total 6,191 lb, non-zero 42%.",DECLINING_TREND,Declining distribution. Steady decline about -3544.3% per month.
Habersham,Hazel Creek Baptist Church,36,12,878.0,398.0,-0.547,-6.42,-0.0092,1.5,1.72,0.92,0.92,878.0,9377.0,0.83,"Last year (12 mo): median 878 lb, total 9,377 lb, non-zero 83%.",LOWER_RECENT_MEDIAN,Declining distribution. Typical month now -55% vs earlier (~878 lb → ~398 lb). Compared to same months last year: typical month -55% (878 lb → 398 lb).
Habersham,"Pilgrim Ministries, Inc.",36,12,499.0,0.0,-1.0,-33.02,-0.1114,0.95,0.0,0.96,0.0,331.0,4730.0,0.92,"Last year (12 mo): median 331 lb, total 4,730 lb, non-zero 92%.",DECLINING_TREND,Declining distribution. Steady decline about -11.1% per month.
Habersham,River Congregational Holiness Church,36,12,0.0,0.0,0.0,-5.43,-5.4313,0.77,0.0,0.29,0.0,0.0,349.0,0.17,"Last year (12 mo): median 0 lb, total 349 lb, non-zero 17%.",DECLINING_TREND,Declining distribution. Steady decline about -543.1% per month.
Hart,Cornerstone Baptist Church,36,12,8138.0,7624.0,-0.063,-35.33,-0.0045,0.15,0.11,1.0,0.92,8090.0,93549.0,1.0,"Last year (12 mo): median 8,090 lb, total 93,549 lb, non-zero 100%.",VARIABILITY_UP,"Growing inconsistency. More up-and-down lately. Compared to same months last year: typical month -6% (8,090 lb → 7,624 lb)."
Hart,Food 2 Kids Hart County,36,12,0.0,0.0,0.0,-63.02,-63.0202,0.32,0.0,0.42,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -6302.0% per month.
Hart,Hart County Cupboard,36,12,7153.0,0.0,-1.0,-212.77,-212.7727,0.33,0.0,0.67,0.0,4590.0,80504.0,0.58,"Last year (12 mo): median 4,590 lb, total 80,504 lb, non-zero 58%.",DECLINING_TREND,Declining distribution. Steady decline about -21277.3% per month.
Hart,Hart: Hart County Clothes Closet Senior Staples Program,36,12,1450.0,0.0,-1.0,-57.51,-57.5109,0.19,0.0,0.71,0.0,0.0,9915.0,0.42,"Last year (12 mo): median 0 lb, total 9,915 lb, non-zero 42%.",DECLINING_TREND,Declining distribution. Steady decline about -5751.1% per month.
Hart,Hart: Hart County Senior Center Senior Staples Program,36,12,408.0,0.0,-1.0,-17.02,-17.0246,0.27,0.0,0.71,0.0,0.0,3027.0,0.42,"Last year (12 mo): median 0 lb, total 3,027 lb, non-zero 42%.",DECLINING_TREND,Declining distribution. Steady decline about -1702.5% per month.
Hart,Helping Hands Ending Hunger,36,12,0.0,0.0,0.0,-4.39,-4.3933,0.0,0.0,0.04,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -439.3% per month.
Hart,Oak Bower Baptist Church,36,12,1028.0,1034.0,0.006,-31.95,-0.0311,2.44,0.61,0.88,0.92,1098.0,15094.0,0.83,"Last year (12 mo): median 1,098 lb, total 15,094 lb, non-zero 83%.",DECLINING_TREND,"Declining distribution. Steady decline about -3.1% per month. Compared to same months last year: typical month -6% (1,098 lb → 1,034 lb)."
Jackson,Banks Jackson Food Bank,36,12,4810.0,4896.0,0.018,-40.31,-0.0083,0.46,1.1,1.0,0.92,4893.0,57523.0,1.0,"Last year (12 mo): median 4,893 lb, total 57,523 lb, non-zero 100%.",MOM_VOLATILITY_UP,"Growing inconsistency. Bigger swings between months in the recent period. Compared to same months last year: typical month 0% (4,893 lb → 4,896 lb)."
Jackson,Center United Methodist Church (Center UMC),36,12,1494.0,0.0,-1.0,-198.44,-0.1925,2.91,0.02,0.92,0.17,1239.0,21821.0,0.92,"Last year (12 mo): median 1,239 lb, total 21,821 lb, non-zero 92%.",DECLINING_TREND,Declining distribution. Steady decline about -19.2% per month.
Jackson,"Christian Outreach Ministries, INC",36,12,0.0,654.0,-1.0,-24.59,-0.0688,0.12,1.18,0.46,0.83,0.0,4014.0,0.25,"Last year (12 mo): median 0 lb, total 4,014 lb, non-zero 25%.",DECLINING_TREND,Declining distribution. Steady decline about -6.9% per month.
Jackson,Church of God of Prophecy - Braselton,36,12,0.0,0.0,0.0,-25.38,-25.3794,0.0,0.0,0.25,0.08,0.0,5093.0,0.25,"Last year (12 mo): median 0 lb, total 5,093 lb, non-zero 25%.",DECLINING_TREND,Declining distribution. Steady decline about -2537.9% per month.
Jackson,Crossroads Worship Center Church of Christ,36,12,0.0,0.0,0.0,-39.65,-39.6498,0.0,0.0,0.08,0.0,0.0,17200.0,0.08,"Last year (12 mo): median 0 lb, total 17,200 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -3965.0% per month.
Jackson,Favor House,36,12,896.0,954.0,0.065,-43.76,-0.0468,0.38,0.29,1.0,1.0,428.0,6259.0,1.0,"Last year (12 mo): median 428 lb, total 6,259 lb, non-zero 100%.",DECLINING_TREND,Declining distribution. Steady decline about -4.7% per month. Compared to same months last year: typical month 123% (428 lb → 954 lb).
Jackson,First Baptist Church of Jefferson,36,12,175.0,340.0,0.943,-32.23,-0.1842,1.01,0.97,0.5,0.5,175.0,28494.0,0.5,"Last year (12 mo): median 175 lb, total 28,494 lb, non-zero 50%.",DECLINING_TREND,Declining distribution. Steady decline about -18.4% per month. Compared to same months last year: typical month 94% (175 lb → 340 lb).
Jackson,Glory Bound Athletics,36,12,0.0,0.0,0.0,-1.7,-1.7022,0.0,0.0,0.12,0.0,0.0,771.0,0.17,"Last year (12 mo): median 0 lb, total 771 lb, non-zero 17%.",DECLINING_TREND,Declining distribution. Steady decline about -170.2% per month.
Jackson,Jackson: Banks Jackson FB Senior Staples Program,36,12,0.0,0.0,0.0,-15.63,-15.6346,0.08,0.0,0.21,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -1563.5% per month.
Jackson,Jackson: Jackson County Baptist Church Senior Staples Program,36,12,0.0,0.0,0.0,-17.13,-17.1302,0.08,0.0,0.29,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -1713.0% per month.
Jackson,Open Door/The Torch Jackson County MP,36,12,0.0,0.0,0.0,-75.54,-75.5432,0.0,0.0,0.04,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -7554.3% per month.
Jackson,Warren Chapel UMC,36,12,1286.0,1150.0,-0.106,-53.75,-0.0461,0.58,0.58,1.0,1.0,777.0,13490.0,1.0,"Last year (12 mo): median 777 lb, total 13,490 lb, non-zero 100%.",DECLINING_TREND,"Declining distribution. Steady decline about -4.6% per month. Compared to same months last year: typical month 48% (777 lb → 1,150 lb)."
Madison,Cedar Grove Baptist Church,36,12,590.0,684.0,0.159,-36.16,-0.0585,1.56,3.21,0.96,0.92,590.0,21482.0,0.92,"Last year (12 mo): median 590 lb, total 21,482 lb, non-zero 92%.","DECLINING_TREND,MOM_VOLATILITY_UP",Declining and less consistent recently. Steady decline about -5.8% per month. Bigger swings between months in the recent period. Compared to same months last year: typical month 16% (590 lb → 684 lb).
